@RELATIO-1 aclImdb-first10

@ATTRIBUTE the -1UMERIC
@ATTRIBUTE and -1UMERIC
@ATTRIBUTE a -1UMERIC
@ATTRIBUTE of -1UMERIC
@ATTRIBUTE to -1UMERIC
@ATTRIBUTE is -1UMERIC
@ATTRIBUTE it -1UMERIC
@ATTRIBUTE in -1UMERIC
@ATTRIBUTE i -1UMERIC
@ATTRIBUTE this -1UMERIC
@ATTRIBUTE pos {1,-1}

@DATA
12,6,6,4,4,2,1,0,7,2,-1
73,25,18,25,21,6,7,10,0,11,-1
41,15,14,12,9,3,6,10,1,6,-1
9,4,3,3,2,3,2,0,5,0,-1
3,2,1,4,1,0,0,0,0,1,-1
28,9,6,10,8,4,3,8,0,3,-1
6,1,0,4,5,0,0,0,0,1,-1
12,5,4,1,6,3,1,3,7,3,-1
20,2,9,6,5,4,7,5,2,3,-1
9,8,8,6,5,2,7,1,9,1,-1
4,6,5,6,1,2,3,4,7,2,-1
17,13,9,8,17,1,5,4,1,4,-1
5,3,4,1,2,5,1,2,2,3,-1
4,1,4,3,2,3,0,0,0,2,-1
6,2,4,1,4,0,7,2,9,1,-1
10,3,2,1,4,8,3,1,2,9,-1
4,5,4,2,3,5,3,1,0,1,-1
8,3,5,6,3,0,6,3,5,6,-1
13,8,2,8,2,4,4,3,3,3,-1
6,4,6,6,3,4,4,1,3,5,-1
13,4,3,2,8,1,0,2,3,3,-1
19,5,4,8,6,4,2,6,4,6,-1
9,3,8,3,4,2,7,1,2,1,-1
14,6,1,3,4,4,3,3,4,2,-1
3,3,4,0,2,3,2,1,6,4,-1
7,3,2,1,4,3,3,0,2,2,-1
4,3,1,4,2,3,4,2,1,6,-1
13,3,1,0,2,1,2,1,1,3,-1
41,0,19,10,13,14,10,8,6,2,-1
9,1,4,0,2,2,1,1,2,5,-1
13,7,4,4,4,1,4,1,2,3,-1
6,6,3,3,3,0,3,1,12,5,-1
25,4,15,7,6,3,8,6,0,2,-1
8,5,1,5,6,3,2,1,5,2,-1
2,1,4,1,2,0,0,0,0,0,-1
15,11,13,17,8,7,3,8,4,4,-1
3,3,4,3,2,2,0,3,2,3,-1
5,2,2,1,2,0,1,4,2,3,-1
9,10,6,3,6,11,4,7,5,10,-1
5,3,7,1,3,1,1,2,0,3,-1
10,2,5,3,4,3,4,0,0,1,-1
7,5,4,6,4,1,4,1,3,2,-1
12,4,4,3,2,3,3,3,0,3,-1
33,10,13,13,13,10,10,11,2,3,-1
5,3,11,4,2,5,1,7,0,4,-1
9,5,4,2,4,3,2,1,0,5,-1
8,3,7,7,5,5,2,0,6,4,-1
9,2,2,2,2,4,0,3,5,3,-1
38,24,17,22,15,14,18,8,10,22,-1
11,6,4,10,3,4,4,1,2,2,-1
7,3,2,2,0,2,5,0,5,3,-1
15,4,5,4,10,4,3,5,1,3,-1
5,1,3,1,2,2,1,0,3,3,-1
12,8,6,4,6,6,3,0,0,2,-1
9,2,1,4,0,3,2,0,2,3,-1
19,12,8,7,7,2,4,3,2,1,-1
27,10,14,24,16,9,9,6,1,8,-1
9,6,8,4,1,2,2,3,3,0,-1
23,4,7,15,5,5,4,3,3,5,-1
59,15,13,16,19,15,23,12,9,10,-1
18,10,8,5,4,5,4,9,7,3,-1
5,3,3,3,4,2,4,2,4,3,-1
6,4,1,4,0,1,1,2,1,2,-1
6,5,4,2,4,1,8,0,7,6,-1
23,8,13,15,10,10,4,11,0,3,-1
5,2,4,2,1,2,2,1,2,3,-1
10,6,5,3,1,5,3,0,3,2,-1
7,3,6,3,8,3,2,3,1,3,-1
8,4,2,2,5,3,4,2,3,0,-1
4,3,5,2,3,1,2,1,0,0,-1
8,5,4,5,7,4,1,2,1,2,-1
16,10,6,9,6,8,1,1,0,1,-1
8,2,6,6,5,4,2,2,2,1,-1
9,6,8,4,10,8,2,5,2,4,-1
15,5,3,2,5,3,5,0,6,2,-1
6,2,1,2,1,1,2,0,3,0,-1
11,8,7,6,5,3,5,1,3,6,-1
5,4,3,2,0,0,0,0,1,1,-1
1,0,3,1,0,3,0,0,0,2,-1
4,5,2,4,2,3,0,1,5,3,-1
4,8,4,2,3,5,2,2,0,4,-1
38,8,13,12,9,5,2,9,4,5,-1
16,10,11,5,7,9,13,3,6,3,-1
7,5,4,6,4,1,1,0,0,1,-1
10,4,0,2,4,1,2,4,3,4,-1
5,3,1,1,4,1,6,2,3,4,-1
10,1,6,4,2,5,6,1,0,0,-1
9,10,7,2,5,1,5,0,3,0,-1
7,3,7,4,4,2,0,0,2,2,-1
6,4,3,3,3,7,0,3,0,2,-1
18,4,5,4,9,4,1,4,1,6,-1
27,5,2,8,9,7,10,5,4,4,-1
8,4,0,6,1,3,4,3,2,1,-1
4,3,6,4,5,2,3,1,3,5,-1
3,3,5,2,3,4,2,0,7,2,-1
8,5,2,4,3,0,0,2,0,1,-1
2,3,9,1,1,2,0,0,0,1,-1
7,2,4,2,3,1,0,1,4,4,-1
10,1,7,5,2,1,1,3,0,3,-1
16,12,11,3,4,4,7,5,6,1,-1
19,9,12,7,3,16,4,6,4,7,-1
15,6,14,6,11,8,5,5,1,3,-1
6,0,3,7,2,2,0,2,4,3,-1
11,8,8,3,4,3,1,2,3,6,-1
5,7,5,1,2,2,1,0,1,2,-1
8,2,6,2,1,6,0,3,3,3,-1
27,3,5,7,5,1,2,5,9,4,-1
31,5,8,3,10,9,0,5,0,1,-1
4,6,3,5,1,4,4,4,1,2,-1
16,1,0,3,4,9,3,5,3,2,-1
19,5,16,6,8,6,5,4,10,11,-1
17,10,11,8,7,12,5,4,2,2,-1
3,3,2,1,0,2,1,2,0,1,-1
6,4,8,11,3,2,4,5,3,6,-1
13,9,7,6,1,7,3,7,1,6,-1
13,8,9,5,9,0,8,4,7,1,-1
2,8,2,1,3,0,5,1,3,3,-1
7,1,3,3,9,0,1,1,4,3,-1
10,1,1,2,3,1,3,1,2,1,-1
18,10,9,11,12,3,14,3,6,5,-1
3,2,5,6,2,1,2,3,6,5,-1
21,6,3,7,14,0,5,1,1,6,-1
14,5,6,6,9,5,3,11,0,11,-1
11,5,2,2,7,0,5,2,8,1,-1
15,7,11,3,8,2,4,4,6,5,-1
17,7,10,13,9,3,11,2,2,4,-1
7,4,2,4,2,4,1,4,1,2,-1
6,4,4,1,5,3,3,0,0,1,-1
18,14,18,10,11,14,13,3,6,9,-1
0,1,2,0,4,0,0,0,0,1,-1
6,2,2,3,1,0,0,1,0,1,-1
2,3,1,0,0,2,0,0,0,0,-1
7,2,2,1,4,0,1,0,3,2,-1
5,2,4,0,3,0,3,3,1,4,-1
4,2,0,0,3,5,2,1,2,2,-1
4,2,3,1,3,1,4,0,1,4,-1
6,4,6,3,6,0,3,2,3,3,-1
1,7,6,6,4,1,5,2,1,5,-1
10,7,3,5,5,3,4,4,0,3,-1
10,6,14,4,6,7,9,5,2,7,-1
1,5,7,2,5,5,0,0,0,4,-1
3,2,9,5,1,3,5,2,0,0,-1
1,0,0,1,3,1,4,1,0,2,-1
5,4,5,1,1,1,1,0,0,2,-1
7,6,9,4,2,8,4,2,1,3,-1
8,6,5,8,4,3,1,0,0,3,-1
21,6,10,9,11,7,6,4,5,3,-1
8,3,1,4,8,2,0,3,10,4,-1
12,1,2,4,2,2,1,2,2,1,-1
8,5,2,4,6,1,3,1,9,2,-1
9,5,5,2,2,6,1,2,0,4,-1
4,0,1,1,6,0,0,3,0,1,-1
6,2,4,3,3,2,1,0,6,2,-1
23,9,10,8,11,10,4,6,6,6,-1
6,2,4,9,3,0,0,1,0,0,-1
36,28,18,22,15,7,6,17,7,5,-1
8,4,5,4,3,0,1,3,1,1,-1
6,2,3,1,8,0,4,0,2,2,-1
5,2,3,2,0,1,1,1,0,0,-1
3,1,5,3,0,3,0,4,2,4,-1
13,7,4,5,3,3,2,3,3,2,-1
18,5,9,5,6,6,5,0,3,3,-1
23,17,18,18,15,11,9,5,5,6,-1
7,5,7,4,2,0,3,1,3,2,-1
34,16,11,10,11,9,11,10,0,9,-1
7,4,1,3,3,4,2,3,1,3,-1
9,2,11,5,7,2,1,4,4,3,-1
18,8,4,10,4,3,2,8,3,2,-1
10,8,6,3,2,3,3,3,5,3,-1
21,8,14,9,19,14,2,9,4,6,-1
9,8,7,10,5,5,6,2,7,4,-1
21,18,16,3,7,9,2,6,5,7,-1
2,2,4,6,6,2,0,2,0,8,-1
18,7,9,5,7,4,5,10,4,5,-1
16,21,13,11,11,7,7,7,2,5,-1
18,10,7,7,0,5,3,7,0,4,-1
4,6,6,2,3,4,3,4,0,2,-1
7,6,2,0,3,0,2,3,2,2,-1
8,5,2,2,0,0,1,1,1,1,-1
16,7,2,7,3,3,6,2,5,5,-1
14,3,6,1,3,2,2,4,4,5,-1
8,4,3,3,1,3,0,1,0,0,-1
20,11,4,7,6,5,0,2,1,4,-1
28,11,6,9,9,5,10,8,1,4,-1
5,2,2,4,0,1,1,2,3,1,-1
6,0,3,3,2,2,1,1,2,2,-1
8,6,6,2,0,0,2,0,1,3,-1
73,0,17,17,20,20,23,11,3,5,-1
7,3,5,6,2,3,4,4,1,1,-1
7,1,6,4,2,2,0,2,2,2,-1
15,15,9,7,7,1,6,8,7,1,-1
17,12,21,12,17,12,16,11,6,8,-1
6,2,2,2,5,3,1,1,0,0,-1
4,2,4,1,2,2,1,3,1,2,-1
8,2,2,2,2,3,1,3,0,3,-1
19,9,12,9,16,7,6,10,1,3,-1
5,10,6,3,6,2,0,3,0,1,-1
39,25,19,19,20,11,13,9,4,10,-1
11,6,3,5,5,0,7,1,4,2,-1
6,4,5,5,3,3,9,3,6,0,-1
12,7,3,9,5,2,7,1,5,2,-1
9,2,4,6,4,6,5,0,4,0,-1
11,1,3,5,3,2,2,4,3,0,-1
5,2,1,1,3,4,2,1,4,2,-1
4,0,1,2,3,1,0,2,0,5,-1
5,2,2,4,7,3,4,2,2,6,-1
3,2,1,0,1,0,0,0,1,1,-1
27,8,11,14,11,12,15,6,8,9,-1
12,5,7,3,7,0,1,2,4,2,-1
6,6,7,1,4,1,6,1,2,3,-1
8,5,5,2,2,3,7,0,4,2,-1
8,1,5,1,4,2,3,0,3,2,-1
3,1,3,1,4,2,0,4,0,1,-1
10,3,1,1,6,1,4,0,7,1,-1
15,8,8,8,6,3,10,3,10,2,-1
7,2,3,1,2,1,5,0,7,4,-1
9,2,3,6,1,0,0,2,1,4,-1
17,5,5,2,4,5,3,3,5,4,-1
9,4,5,2,5,1,3,1,2,5,-1
6,4,5,5,5,4,3,4,3,6,-1
1,2,6,2,6,2,1,1,3,2,-1
12,9,8,5,7,4,4,7,10,8,-1
12,6,6,8,3,3,4,2,0,3,-1
16,11,7,7,4,3,4,5,7,3,-1
15,1,5,3,6,0,4,3,7,5,-1
23,2,3,9,8,0,5,3,9,5,-1
11,3,3,3,3,2,1,5,4,1,-1
28,34,34,18,14,6,9,19,13,8,-1
31,18,13,24,16,7,9,9,6,7,-1
34,9,5,14,10,1,10,5,4,4,-1
19,7,10,11,15,3,2,4,6,5,-1
14,6,9,7,6,1,6,1,4,6,-1
10,4,6,2,3,4,3,3,0,3,-1
34,9,6,12,7,10,8,6,6,9,-1
6,2,2,1,3,1,1,1,5,2,-1
6,3,6,2,2,0,2,1,2,3,-1
2,3,5,2,6,0,2,1,5,2,-1
29,12,5,7,10,2,2,8,0,1,-1
29,5,9,10,9,4,8,6,4,1,-1
6,3,3,1,4,0,2,0,7,3,-1
13,4,12,6,6,5,6,6,1,7,-1
2,3,4,2,3,3,5,6,1,1,-1
14,0,8,2,5,0,2,4,4,1,-1
14,9,6,6,4,1,2,3,0,0,-1
27,7,10,10,7,3,2,5,9,3,-1
18,7,3,3,10,1,9,3,8,5,-1
11,4,3,4,3,0,0,1,2,0,-1
29,15,7,12,10,9,4,4,0,1,-1
11,4,9,8,3,4,4,4,2,4,-1
9,6,3,5,3,2,3,0,1,3,-1
9,8,13,5,5,4,9,5,3,4,-1
14,2,4,5,9,3,1,2,1,3,-1
16,7,2,3,2,4,6,4,6,7,-1
34,16,18,15,11,0,5,12,16,4,-1
19,17,9,5,6,6,2,8,7,8,-1
11,7,14,9,7,8,9,2,1,7,-1
8,3,5,4,2,2,2,3,7,6,-1
30,11,8,7,6,4,0,10,2,3,-1
38,8,17,11,29,7,10,11,5,7,-1
44,10,11,25,14,8,5,3,3,7,-1
10,6,8,8,8,3,10,3,4,7,-1
4,5,1,4,3,0,2,1,8,1,-1
9,3,6,5,4,2,0,2,1,2,-1
12,8,6,4,5,2,4,5,8,4,-1
9,0,3,5,4,4,4,1,5,3,-1
16,4,2,5,6,6,7,3,4,3,-1
6,3,4,2,5,1,2,1,3,2,-1
8,3,3,7,0,4,1,1,3,8,-1
10,5,4,2,10,0,1,2,3,2,-1
8,5,5,4,8,0,5,3,6,6,-1
17,7,7,2,4,2,9,5,3,10,-1
13,5,6,7,1,1,3,2,1,0,-1
7,4,8,2,1,3,0,3,1,2,-1
9,3,4,3,4,0,3,0,0,2,-1
9,1,5,2,5,1,3,3,1,1,-1
7,3,2,7,5,2,1,1,2,3,-1
12,9,4,8,8,5,8,3,9,2,-1
10,6,1,1,0,1,0,1,0,2,-1
4,6,1,0,4,2,0,3,4,1,-1
15,6,9,9,2,5,3,6,7,4,-1
11,2,2,3,4,3,2,1,8,4,-1
7,5,4,3,8,2,6,4,0,4,-1
15,11,4,7,11,1,1,6,3,4,-1
6,3,8,5,2,3,3,2,3,4,-1
6,3,3,2,3,2,2,4,6,2,-1
5,8,11,5,3,3,1,7,0,1,-1
21,7,7,6,5,8,6,4,3,0,-1
4,2,2,2,2,3,0,2,1,2,-1
6,7,0,4,3,0,1,0,4,3,-1
3,3,5,3,0,2,5,4,5,4,-1
10,4,6,4,2,4,5,1,2,5,-1
6,3,4,2,2,1,1,3,0,3,-1
24,6,11,7,10,1,8,10,9,4,-1
23,12,12,14,15,5,1,8,4,6,-1
8,7,2,3,4,6,3,4,0,0,-1
21,13,13,13,14,3,4,6,2,6,-1
7,5,2,2,1,2,6,4,0,2,-1
13,8,10,10,2,3,2,7,0,1,-1
4,4,4,3,2,9,3,2,2,5,-1
18,7,15,8,3,9,2,8,0,1,-1
4,1,8,4,3,6,2,2,0,0,-1
13,7,8,6,5,4,3,6,0,3,-1
10,0,2,2,5,0,2,4,2,3,-1
3,14,10,1,3,4,10,3,3,3,-1
8,1,2,3,4,2,2,3,0,5,-1
9,6,3,4,1,2,0,3,0,0,-1
6,1,1,2,2,1,2,1,0,1,-1
12,5,1,7,13,5,6,9,0,3,-1
9,4,7,3,3,3,2,2,1,2,-1
25,12,10,7,7,5,8,7,1,2,-1
10,2,8,5,3,7,2,3,2,3,-1
26,9,6,7,9,10,9,5,9,6,-1
11,2,1,2,3,3,1,4,1,3,-1
5,0,2,2,2,3,0,0,0,2,-1
5,1,0,1,1,1,0,0,0,1,-1
6,2,11,4,7,1,1,5,2,1,-1
6,2,4,1,2,3,1,3,1,4,-1
6,2,1,2,3,2,4,3,2,2,-1
13,2,2,7,2,2,1,5,0,2,-1
10,9,9,6,3,8,3,3,3,2,-1
1,1,8,2,1,4,0,2,0,1,-1
12,3,3,4,5,2,1,2,1,4,-1
9,4,3,4,7,0,7,2,3,0,-1
25,12,10,16,10,2,7,7,21,13,-1
19,6,14,10,7,8,2,9,4,4,-1
11,3,3,4,6,4,7,4,1,7,-1
11,5,3,3,2,8,2,7,1,5,-1
4,2,5,0,3,0,5,2,5,3,-1
13,2,1,1,5,0,3,1,5,2,-1
13,3,3,3,6,2,5,2,4,5,-1
6,4,5,1,4,2,4,2,3,7,-1
8,2,3,3,4,4,3,3,1,5,-1
10,6,6,6,5,2,6,2,10,9,-1
9,3,5,6,5,5,2,4,7,8,-1
5,2,3,1,1,0,2,1,14,3,-1
9,4,4,4,4,2,2,1,1,7,-1
11,5,9,6,8,4,3,2,10,7,-1
3,1,1,3,2,3,5,1,6,5,-1
6,4,7,2,2,3,2,1,8,3,-1
8,1,1,2,6,3,1,2,1,8,-1
7,2,5,2,1,9,6,2,2,4,-1
11,11,8,7,5,4,6,4,2,6,-1
16,7,4,6,1,4,4,1,2,7,-1
10,3,2,7,2,1,1,0,1,6,-1
19,11,8,8,12,5,4,9,5,8,-1
3,5,4,3,2,0,0,1,3,2,-1
6,7,3,6,0,0,3,1,1,4,-1
3,1,2,3,2,0,1,1,4,1,-1
6,4,1,1,1,0,8,0,7,3,-1
8,3,4,5,3,1,5,1,4,2,-1
8,2,3,6,4,4,5,2,4,5,-1
9,5,7,6,4,2,7,4,14,5,-1
6,3,4,2,3,1,5,0,9,4,-1
7,2,4,1,6,2,7,3,3,4,-1
7,13,11,5,5,4,7,3,10,7,-1
9,7,3,8,3,3,1,2,0,6,-1
9,5,4,3,2,2,6,1,4,2,-1
9,5,9,3,1,4,1,5,1,5,-1
11,8,5,1,3,4,7,0,1,5,-1
13,2,3,5,4,3,1,3,2,1,-1
5,3,5,3,7,1,3,3,4,4,-1
29,10,13,19,14,9,9,14,3,3,-1
14,4,6,3,2,4,4,1,1,3,-1
3,3,3,3,4,1,0,2,3,3,-1
8,5,2,0,6,2,0,3,1,1,-1
10,5,6,2,9,0,5,1,7,5,-1
8,0,3,3,1,5,3,0,4,8,-1
8,4,3,5,8,5,1,4,8,5,-1
10,5,4,0,5,0,1,4,5,3,-1
18,7,6,3,7,4,3,1,0,2,-1
12,3,6,5,5,3,1,3,4,7,-1
9,3,1,2,3,4,3,3,0,1,-1
10,6,9,5,10,10,8,4,7,6,-1
20,12,10,5,14,7,8,8,7,10,-1
10,5,5,2,3,4,6,1,2,2,-1
3,3,3,2,1,3,2,3,1,2,-1
15,7,11,6,1,4,1,2,4,3,-1
15,11,12,7,8,1,7,6,5,4,-1
7,2,2,0,4,2,0,3,0,2,-1
7,7,2,4,3,4,5,0,2,1,-1
29,6,6,14,10,6,8,8,4,4,-1
26,4,7,11,13,13,4,9,8,4,-1
6,3,6,2,2,4,3,2,2,3,-1
35,10,6,4,8,9,6,8,7,9,-1
28,12,12,13,14,3,8,5,2,0,-1
24,13,24,15,21,15,5,8,4,9,-1
10,7,5,9,1,3,1,3,5,3,-1
5,2,3,1,1,1,5,3,3,0,-1
11,7,7,6,10,11,5,2,5,2,-1
9,2,3,5,0,1,2,3,0,0,-1
9,3,1,0,1,0,1,0,3,1,-1
10,7,2,2,1,0,6,3,3,3,-1
8,4,4,3,6,3,1,1,3,0,-1
13,6,5,8,8,1,6,2,4,6,-1
11,27,8,11,4,6,7,3,8,4,-1
19,13,6,6,10,2,17,6,10,4,-1
2,3,2,2,3,6,5,1,0,2,-1
5,6,0,5,2,3,7,3,8,7,-1
44,8,13,11,8,13,0,8,1,1,-1
7,5,6,5,9,7,3,1,3,4,-1
10,5,3,3,2,3,7,2,0,0,-1
13,4,5,7,4,2,1,6,0,3,-1
34,12,19,17,16,19,3,11,0,8,-1
4,2,7,3,4,1,5,3,7,2,-1
10,9,12,13,7,8,10,5,1,7,-1
32,11,15,12,9,6,5,5,6,12,-1
14,8,9,3,4,3,6,2,2,2,-1
13,5,10,6,6,3,8,1,9,5,-1
47,32,34,32,18,14,18,9,9,13,-1
3,1,3,3,1,2,0,1,0,3,-1
3,3,4,0,3,3,1,1,1,0,-1
3,1,0,0,2,0,3,1,5,5,-1
4,1,2,0,2,1,9,2,4,4,-1
7,7,4,9,6,0,3,3,9,5,-1
6,1,4,5,5,2,6,2,8,4,-1
3,0,1,0,0,0,0,0,1,2,-1
10,5,8,3,7,2,5,1,7,4,-1
4,1,2,0,2,1,9,2,4,4,-1
10,4,4,8,4,4,2,2,3,5,-1
23,21,28,11,15,17,11,7,1,10,-1
18,9,8,7,12,9,4,7,7,8,-1
6,7,5,5,3,2,5,2,2,3,-1
5,4,3,6,4,0,4,1,0,4,-1
6,3,6,3,2,2,0,2,0,1,-1
1,2,3,2,2,0,1,1,0,2,-1
6,3,3,3,7,2,7,1,7,4,-1
10,5,9,5,8,4,3,1,4,5,-1
7,7,6,4,3,10,9,1,0,13,-1
4,2,2,2,2,1,4,1,4,4,-1
6,7,11,5,5,3,0,2,1,5,-1
9,6,6,5,13,7,4,2,7,7,-1
9,4,5,3,2,3,2,1,4,1,-1
8,1,2,2,7,5,5,0,1,5,-1
11,4,2,2,4,1,0,2,2,8,-1
24,29,9,13,21,10,7,12,1,3,-1
23,6,11,6,8,7,3,2,0,3,-1
13,6,4,6,2,3,2,2,0,0,-1
8,5,4,3,2,4,5,1,6,2,-1
11,3,7,6,2,7,3,3,0,2,-1
12,5,4,7,3,7,4,3,1,2,-1
6,1,3,1,2,4,2,3,5,6,-1
12,6,8,4,4,1,3,5,6,2,-1
25,5,13,13,12,1,5,6,7,7,-1
15,2,2,6,1,6,6,0,1,2,-1
55,33,23,25,18,15,14,15,3,15,-1
22,7,7,12,3,3,7,4,3,3,-1
18,8,10,5,3,14,10,4,0,0,-1
35,12,24,19,12,14,8,7,2,16,-1
99,39,58,45,35,26,11,15,6,17,-1
47,17,18,16,21,9,15,21,4,3,-1
75,0,26,23,27,24,27,9,0,3,-1
7,3,4,8,8,4,7,6,7,4,-1
17,13,13,8,6,10,19,3,6,7,-1
17,9,14,8,15,4,11,7,22,10,-1
4,5,2,2,0,1,2,5,2,4,-1
5,2,3,0,6,3,3,0,5,3,-1
21,7,10,11,10,10,16,4,17,12,-1
12,8,13,3,4,4,1,4,2,7,-1
21,13,7,14,6,8,5,1,9,8,-1
18,13,7,13,9,5,5,6,1,3,-1
9,2,7,3,2,2,2,2,3,1,-1
50,24,28,26,21,14,8,20,3,10,-1
11,4,6,3,4,2,0,2,1,2,-1
9,3,4,5,3,5,3,1,1,2,-1
14,7,4,5,6,2,1,1,0,2,-1
8,2,3,1,3,1,3,0,0,0,-1
4,3,5,3,1,2,1,1,0,0,-1
13,11,10,7,12,11,4,4,0,6,-1
9,4,4,3,2,0,1,1,0,0,-1
36,15,8,8,8,5,6,6,12,7,-1
6,5,8,6,4,1,0,1,1,3,-1
14,3,4,4,5,1,3,3,1,3,-1
20,11,10,8,5,11,6,2,1,2,-1
40,11,14,17,11,8,7,6,2,2,-1
17,9,15,11,7,13,2,1,4,8,-1
1,3,4,2,3,0,2,0,0,0,-1
13,14,4,4,4,6,4,2,4,3,-1
3,4,1,0,2,1,0,3,5,9,-1
13,5,4,5,4,3,1,1,3,2,-1
6,3,5,5,4,0,1,2,2,2,-1
10,12,5,9,6,4,2,4,1,0,-1
7,3,5,3,2,2,2,0,7,3,-1
7,7,5,5,2,3,2,0,2,5,-1
10,3,3,4,1,1,3,0,3,3,-1
10,6,8,5,4,3,5,3,4,3,-1
12,13,10,15,10,9,9,8,9,14,-1
11,6,3,4,1,4,1,2,0,1,-1
54,26,23,26,24,17,13,18,9,4,-1
21,11,11,12,10,4,3,9,1,3,-1
13,7,5,4,4,3,11,3,17,7,-1
13,8,10,7,4,4,5,2,3,7,-1
25,13,10,16,5,9,10,4,7,10,-1
6,2,4,8,3,7,2,6,8,6,-1
5,4,4,2,4,2,7,1,4,1,-1
6,8,3,5,4,3,5,2,2,4,-1
32,7,14,10,12,14,8,4,3,9,-1
17,1,8,11,14,8,3,3,1,3,-1
15,4,6,6,8,1,5,4,1,1,-1
11,9,11,8,5,8,7,5,0,5,-1
6,0,0,3,2,0,3,2,1,3,-1
5,5,9,7,5,5,1,2,3,5,-1
10,1,6,2,3,5,1,4,1,1,-1
19,9,22,15,9,3,5,11,6,4,-1
8,3,2,5,3,4,1,2,1,7,-1
5,2,2,3,2,3,3,0,3,3,-1
7,5,0,1,2,2,1,0,0,1,-1
9,4,7,1,1,3,3,2,11,3,-1
0,3,0,3,4,0,0,2,0,1,-1
9,2,7,3,7,2,6,4,6,8,-1
3,3,0,2,5,3,3,2,1,7,-1
3,3,4,1,3,2,2,2,1,4,-1
2,3,2,2,0,3,3,1,3,3,-1
8,7,6,5,7,4,10,8,8,4,-1
9,4,3,5,7,2,4,4,2,2,-1
19,3,6,5,2,2,7,6,7,4,-1
5,2,6,3,5,1,2,2,0,4,-1
17,4,7,10,6,3,7,5,2,2,-1
11,12,10,6,5,4,4,4,3,6,-1
26,7,13,13,14,7,2,10,0,4,-1
29,20,22,12,18,9,7,8,7,8,-1
5,1,2,4,1,2,1,1,1,3,-1
10,4,3,3,5,4,1,2,2,3,-1
1,2,1,1,2,1,2,2,0,1,-1
17,9,4,6,9,7,8,4,3,6,-1
13,5,4,6,6,3,4,7,0,4,-1
10,7,7,2,3,1,4,5,8,4,-1
5,4,4,1,4,1,4,2,5,2,-1
14,11,16,12,18,10,3,7,4,8,-1
4,1,1,2,1,1,2,1,2,4,-1
9,5,3,4,3,2,1,1,5,4,-1
8,2,4,1,6,3,0,3,0,1,-1
22,2,6,4,4,0,5,6,1,1,-1
14,4,4,2,2,4,4,6,2,3,-1
20,5,11,1,3,9,2,3,1,4,-1
4,6,7,3,3,5,2,2,0,8,-1
7,5,3,3,4,0,1,2,1,1,-1
5,7,11,6,12,2,5,1,1,3,-1
19,6,11,8,14,2,2,5,0,1,-1
10,1,5,2,5,1,3,0,5,4,-1
29,12,4,8,9,5,5,5,3,1,-1
9,2,4,4,1,2,3,3,1,2,-1
1,1,5,0,6,1,4,0,2,4,-1
3,7,2,4,3,1,3,3,5,2,-1
6,6,10,5,5,3,3,2,4,6,-1
4,3,7,2,3,1,2,0,0,2,-1
4,0,3,0,1,0,3,0,1,0,-1
5,0,0,1,3,1,4,0,2,1,-1
8,6,4,3,5,3,3,3,5,6,-1
4,2,2,2,3,1,2,1,2,5,-1
5,5,3,4,4,4,2,1,3,3,-1
3,0,0,0,1,1,2,2,0,1,-1
9,2,14,7,6,5,3,1,0,3,-1
2,6,6,4,3,1,3,1,4,6,-1
6,5,2,3,6,1,2,6,10,5,-1
9,3,5,5,4,1,3,3,3,3,-1
19,5,4,4,11,5,3,11,0,8,-1
5,2,2,2,3,2,3,2,1,4,-1
14,6,4,4,3,5,8,2,7,4,-1
2,2,1,0,1,1,1,1,0,2,-1
4,2,1,3,5,1,0,1,0,1,-1
33,10,12,13,11,10,5,5,2,5,-1
9,5,4,6,3,1,2,1,4,3,-1
21,7,6,9,6,6,2,4,1,6,-1
12,6,4,6,4,3,5,4,3,2,-1
21,14,11,10,10,2,7,9,1,5,-1
7,0,0,4,3,3,2,0,3,4,-1
13,4,7,4,2,5,1,0,1,3,-1
15,6,2,5,8,3,0,1,2,6,-1
41,12,17,17,16,11,3,4,1,6,-1
17,6,13,4,1,9,6,3,3,6,-1
7,5,11,1,8,4,0,2,1,1,-1
10,9,4,3,1,3,4,7,7,5,-1
4,2,2,2,0,2,0,3,1,2,-1
24,10,10,8,6,1,12,5,10,8,-1
6,4,3,0,6,2,1,0,3,3,-1
11,3,7,3,4,2,2,2,0,2,-1
7,4,7,0,2,5,4,1,5,3,-1
8,5,7,5,6,1,3,1,9,5,-1
7,3,3,3,1,2,2,4,7,3,-1
12,9,10,1,8,2,9,5,4,3,-1
6,5,4,1,2,8,11,1,1,1,-1
5,3,1,1,5,2,0,0,2,4,-1
8,3,9,3,3,5,4,3,6,3,-1
10,2,2,7,1,0,0,2,2,0,-1
8,2,6,3,2,2,2,2,4,2,-1
7,1,6,2,4,2,4,3,3,2,-1
26,9,10,5,7,2,6,5,3,4,-1
15,9,3,4,6,4,7,5,3,0,-1
4,7,7,4,2,9,2,5,0,2,-1
17,15,13,6,7,6,1,0,8,3,-1
13,4,4,10,3,3,5,6,1,7,-1
33,19,5,23,6,14,9,8,6,2,-1
12,9,8,1,2,3,0,4,0,1,-1
8,4,7,2,2,2,3,2,4,3,-1
10,5,8,5,8,6,3,6,0,1,-1
10,2,0,3,5,1,3,1,2,4,-1
21,11,8,8,7,4,6,4,12,5,-1
9,2,4,3,3,3,6,2,7,2,-1
